submission_id,ANorm_drug,ANorm_food,ANorm_matrix,ANorm_superhero,BNorm_drug,BNorm_food,BNorm_matrix,BNorm_superhero,age,comments,compare_drug,compare_food,compare_matrix,compare_superhero,education,experiment_duration,experiment_end_time,experiment_start_time,feedbackTime,gender,languages,options,prolific_pid,prolific_session_id,prolific_study_id,question,response,responseTime
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,-1,female,english,Yes|No|I am not sure,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,Is it possible that Bob draws a violin card from his deck?,No,5993
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,-1,female,english,Alice needs exactly 2 points to win.|Alice needs at least 1 point to win.,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,"In the previous question, what was the winning rule for Alice?",Alice needs at least 1 point to win.,4652
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,-1,female,english,Yes|No|I am not sure,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,Does Alice know how many guitar cards Bob has in his deck?,No,2673
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,I drew the violin card.|Bob drew the guitar card.,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,I won because ,I drew the violin card.,17278
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,I drew the office worker card.|Bob drew the beer card.,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,I lost because ,Bob drew the beer card.,9091
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,I drew the math card.|Bob drew the biology card.,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,I won because ,I drew the math card.,6110
1958,NA,NA,NA,NA,NA,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,I drew the party card.|Bob drew the game card.,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,I lost because ,Bob drew the game card.,4001
1958,more than 5,NA,NA,NA,less than 5,NA,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,NA,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,NA,NA,17087
1958,NA,NA,NA,more than 5,NA,NA,NA,less than 5,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,NA,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,NA,NA,8635
1958,NA,less than 5,NA,NA,NA,more than 5,NA,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,NA,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,NA,NA,8508
1958,NA,NA,less than 5,NA,NA,NA,more than 5,NA,21,,,,,,Graduated High-school,202933,1759915156303,1759914953370,NA,female,english,NA,6668c0560adc0e65f62c7c5f,68e62bc07761fd500c8a1ee5,68e625d20d644f9679c7d1c3,NA,NA,10329
1959,NA,NA,NA,NA,NA,NA,NA,NA,34,N/A,,NA,,NA,Graduated College,253326,1759915214430,1759914961104,-1,female,English,Yes|No|I am not sure,627a76b96bea55210aecbba9,68e62bc66a4f7585113bad0f,68e625d20d644f9679c7d1c3,Is it possible that Bob draws a violin card from his deck?,No,6206
1959,NA,NA,NA,NA,NA,NA,NA,NA,34,N/A,,NA,,NA,Graduated College,253326,1759915214430,1759914961104,-1,female,English,Alice needs exactly 2 points to win.|Alice needs at least 1 point to win.,627a76b96bea55210aecbba9,68e62bc66a4f7585113bad0f,68e625d20d644f9679c7d1c3,"In the previous question, what was the winning rule for Alice?",Alice needs at least 1 point to win.,3973
